STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
382984,Data Science & Artificial Intelligence,Male,Kuwait,84,Scientific
386152,Data Science & Artificial Intelligence,Male,Jordan,85,GCE Sci
387208,Data Science & Artificial Intelligence,Female,Jordan,93,SAT2 Sci.
387318,Data Science & Artificial Intelligence,Male,Jordan,86,IB Scie
387428,Data Science & Artificial Intelligence,Male,Jordan,88,IB Scie
387472,Data Science & Artificial Intelligence,Female,Jordan,94,Scientific / Medical 
387560,Data Science & Artificial Intelligence,Male,U.A.E,96,Scientific /Adv.
394556,Data Science & Artificial Intelligence,Female,U.S.A.,81,Scientific
394567,Data Science & Artificial Intelligence,Male,Jordan,91,SAT2 Sci.
395667,Data Science & Artificial Intelligence,Male,Jordan,94,Scientific / Medical 
396129,Data Science & Artificial Intelligence,Female,Jordan,92,SAT2 Sci.
393797,Data Science & Artificial Intelligence,Male,Jordan,96,Scientific / Medical 
396613,Data Science & Artificial Intelligence,Male,Jordan,80,SAT2 Sci.
387923,Data Science & Artificial Intelligence,Male,Jordan,86,GCE Sci
389023,Data Science & Artificial Intelligence,Female,U.A.E,99,Scientific /Adv.
392191,Data Science & Artificial Intelligence,Male,Jordan,95,Scientific / Medical 
386053,Data Science & Artificial Intelligence,Male,U.A.E,96,SAT2 Sci.
386075,Data Science & Artificial Intelligence,Female,U.A.E,96,Scientific /Adv.
389078,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific / Medical 
389232,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
389540,Data Science & Artificial Intelligence,Female,Qatar,89,Scientific
385371,Data Science & Artificial Intelligence,Male,K.S.A,88,Scientific
385602,Data Science & Artificial Intelligence,Female,U.A.E,89,SAT2 Sci.
389507,Data Science & Artificial Intelligence,Male,Jordan,97,GCE Sci
388836,Data Science & Artificial Intelligence,Male,K.S.A,89,GCE Sci
383215,Data Science & Artificial Intelligence,Male,K.S.A,99,Scientific
383534,Data Science & Artificial Intelligence,Male,Jordan,89,Scientific / Medical 
384194,Data Science & Artificial Intelligence,Male,Jordan,91,SAT2 Sci.
392136,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
386999,Data Science & Artificial Intelligence,Female,K.S.A,95,Scientific
391674,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
392378,Data Science & Artificial Intelligence,Female,Jordan,94,GCE Sci
393577,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific / Medical 
388924,Data Science & Artificial Intelligence,Male,Jordan,81,SAT2 Sci.
389221,Data Science & Artificial Intelligence,Female,Palestine,99,Scientific
389672,Data Science & Artificial Intelligence,Female,Kuwait,97,Scientific
389683,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific / Medical 
389859,Data Science & Artificial Intelligence,Male,Jordan,94,IB Scie
383039,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
383061,Data Science & Artificial Intelligence,Female,Kuwait,98,Scientific
384117,Data Science & Artificial Intelligence,Female,K.S.A,92,Scientific
384491,Data Science & Artificial Intelligence,Male,Jordan,89,SAT2 Sci.
384997,Data Science & Artificial Intelligence,Male,Jordan,91,SAT2 Sci.
385811,Data Science & Artificial Intelligence,Female,Jordan,96,GCE Sci
385998,Data Science & Artificial Intelligence,Male,Jordan,95,SAT2 Sci.
388539,Data Science & Artificial Intelligence,Female,Jordan,81,Scientific / Medical 
395150,Data Science & Artificial Intelligence,Female,K.S.A,98,Scientific
395854,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific / Medical 
393203,Data Science & Artificial Intelligence,Male,Jordan,90,GCE Sci
391476,Data Science & Artificial Intelligence,Female,Jordan,94,Scientific / Medical 
396965,Data Science & Artificial Intelligence,Female,Jordan,94,Scientific
389133,Data Science & Artificial Intelligence,Female,U.A.E,99,Scientific /Adv.
389166,Data Science & Artificial Intelligence,Male,Jordan,94,SAT2 Sci.
389936,Data Science & Artificial Intelligence,Female,Jordan,79,GCE Sci
392884,Data Science & Artificial Intelligence,Male,Qatar,70,Scientific
383160,Data Science & Artificial Intelligence,Male,Jordan,92,IB Scie
384051,Data Science & Artificial Intelligence,Male,Jordan,92,GCE Sci
393995,Data Science & Artificial Intelligence,Male,Jordan,92,GCE Sci
394248,Data Science & Artificial Intelligence,Male,Jordan,69,Scientific / Medical 
393962,Data Science & Artificial Intelligence,Male,Jordan,82,Scientific / Medical 
394336,Data Science & Artificial Intelligence,Female,Jordan,78,Scientific / Medical 
394380,Data Science & Artificial Intelligence,Male,K.S.A,83,Scientific
384854,Data Science & Artificial Intelligence,Female,K.S.A,90,SAT2 Sci.
387758,Data Science & Artificial Intelligence,Male,Qatar,95,Scientific
396756,Data Science & Artificial Intelligence,Male,Yemen,94,Scientific
394798,Data Science & Artificial Intelligence,Female,Spain,94,Scientific
392213,Data Science & Artificial Intelligence,Male,Jordan,88,Scientific / Medical 
394424,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific / Medical 
394589,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
394677,Data Science & Artificial Intelligence,Male,U.A.E,98,Scientific
