STD_NO,MAJOR_EDESC,GENDER_EDESC,TAWJIH_COUNTRY,TAWJIH_GPA,TAWJIH_BRANCH
348081,Data Science & Artificial Intelligence,Female,K.S.A,83,SAT2 Sci.
348202,Data Science & Artificial Intelligence,Male,U.A.E,96,SAT2 Sci.
345001,Data Science & Artificial Intelligence,Male,Jordan,98,SAT2 Sci.
345276,Data Science & Artificial Intelligence,Male,Jordan,88,Scientific
345485,Data Science & Artificial Intelligence,Male,Jordan,85,GCE Sci
345562,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
345573,Data Science & Artificial Intelligence,Female,Jordan,86,Scientific
344330,Data Science & Artificial Intelligence,Female,Jordan,83,Scientific
348433,Data Science & Artificial Intelligence,Female,Jordan,93,Scientific
344319,Data Science & Artificial Intelligence,Female,K.S.A,88,Scientific
344352,Data Science & Artificial Intelligence,Male,U.A.E,93,Scientific
344363,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific
344913,Data Science & Artificial Intelligence,Male,Jordan,85,GCE Sci
344484,Data Science & Artificial Intelligence,Female,Jordan,96,SAT2 Sci.
344495,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
346849,Data Science & Artificial Intelligence,Male,Jordan,92,Scientific
342878,Data Science & Artificial Intelligence,Male,Jordan,96,Scientific
342889,Data Science & Artificial Intelligence,Male,Jordan,95,Scientific
343197,Data Science & Artificial Intelligence,Male,Jordan,89,Scientific
343362,Data Science & Artificial Intelligence,Male,U.A.E,90,Scientific
343395,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific
343626,Data Science & Artificial Intelligence,Female,K.S.A,86,SAT2 Sci.
345969,Data Science & Artificial Intelligence,Male,Jordan,89,IB Scie
330690,Data Science & Artificial Intelligence,Female,Jordan,89,Scientific
349885,Data Science & Artificial Intelligence,Female,Jordan,81,Scientific
347432,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
353746,Data Science & Artificial Intelligence,Male,Jordan,88,Scientific
350710,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
350721,Data Science & Artificial Intelligence,Female,Jordan,96,Scientific
350798,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific
350820,Data Science & Artificial Intelligence,Female,Jordan,97,IB Scie
350842,Data Science & Artificial Intelligence,Male,Jordan,90,Scientific
350864,Data Science & Artificial Intelligence,Female,Jordan,95,Scientific
350941,Data Science & Artificial Intelligence,Female,K.S.A,94,SAT2 Sci.
352657,Data Science & Artificial Intelligence,Female,K.S.A,84,GCE Sci
354846,Data Science & Artificial Intelligence,Female,K.S.A,96,GCE Sci
354857,Data Science & Artificial Intelligence,Male,K.S.A,93,Scientific
354879,Data Science & Artificial Intelligence,Female,Jordan,99,IB Scie
354890,Data Science & Artificial Intelligence,Male,U.A.E,90,Scientific
354967,Data Science & Artificial Intelligence,Female,U.A.E,93,Scientific
355022,Data Science & Artificial Intelligence,Female,Jordan,97,IB Scie
348873,Data Science & Artificial Intelligence,Male,U.A.E,90,GCE Sci
351205,Data Science & Artificial Intelligence,Male,U.A.E,91,GCE Sci
350633,Data Science & Artificial Intelligence,Female,Jordan,88,Scientific
355429,Data Science & Artificial Intelligence,Male,K.S.A,97,GCE Sci
355462,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
355682,Data Science & Artificial Intelligence,Male,Jordan,91,Scientific
353416,Data Science & Artificial Intelligence,Male,Jordan,86,Scientific
354615,Data Science & Artificial Intelligence,Male,Jordan,82,Scientific
354043,Data Science & Artificial Intelligence,Female,Jordan,83,Scientific
341085,Data Science & Artificial Intelligence,Male,Jordan,94,GCE Sci
348774,Data Science & Artificial Intelligence,Male,Jordan,78,Scientific
350655,Data Science & Artificial Intelligence,Female,K.S.A,91,GCE Sci
350743,Data Science & Artificial Intelligence,Female,Jordan,90,Scientific
352965,Data Science & Artificial Intelligence,Male,Kuwait,96,Scientific
355726,Data Science & Artificial Intelligence,Female,Jordan,98,Scientific
355869,Data Science & Artificial Intelligence,Male,U.A.E,96,GCE Sci
356166,Data Science & Artificial Intelligence,Female,Jordan,86,Scientific / Medical 
356243,Data Science & Artificial Intelligence,Female,K.S.A,96,Scientific
349203,Data Science & Artificial Intelligence,Male,U.A.E,84,SAT2 Sci.
355451,Data Science & Artificial Intelligence,Male,Jordan,92,GCE Sci
356441,Data Science & Artificial Intelligence,Female,Jordan,94,GCE Sci
356496,Data Science & Artificial Intelligence,Male,Jordan,96,GCE Sci
356518,Data Science & Artificial Intelligence,Male,K.S.A,98,GCE Sci
356716,Data Science & Artificial Intelligence,Male,Jordan,95,IB Scie
356782,Data Science & Artificial Intelligence,Female,Jordan,97,GCE Sci
356881,Data Science & Artificial Intelligence,Female,Jordan,94,IB Scie
351073,Data Science & Artificial Intelligence,Male,K.S.A,92,Scientific
355957,Data Science & Artificial Intelligence,Male,Jordan,99,GCE Sci
