COURSE_ID,COURSE_DESCE,COURSE_TYP,COURSE_TYPEE,LEVEL_ID,LEVEL_DESCE,REQ_TYP,REQ_TYPEE,MARK_TYP,MARK_TYPEE,WEB_FLAG,LOAD_HOURS,REQ_HOURS,PRE_COURSE_ID,RULE_ID,RULE_DESC
31121,English Language,1,lecture,1,First Year,1,Compulsory University Requirements,1,Distributed 60/40,1,3,18,31022,1,Prerequisite
31151,National Education,1,lecture,1,First Year,1,Compulsory University Requirements,1,Distributed 60/40,0,3,18,0,0,0
11344,"Advanced Topics in Internet Programming
",1,lecture,3,Third Year,5,Elective Program Requirements,1,Distributed 60/40,0,3,12,11323,1,Prerequisite
31130,Foreign languages,1,lecture,1,First Year,2,Elective University Requirements ,1,Distributed 60/40,1,3,9,0,0,0
31264,Introduction To Psychology,1,lecture,2,Second Year,2,Elective University Requirements ,1,Distributed 60/40,1,3,9,0,0,0
14141,Introduction to Data Science lab,2,Lab,1,First Year,4,Compulsory Program Requirements,1,Distributed 60/40,1,1,68,14140,2,Concurrent
14331,Artificial Intelligence lab,2,Lab,1,First Year,4,Compulsory Program Requirements,1,Distributed 60/40,1,1,68,14330,2,Concurrent
14271,Statistics and  Probability for Data Science lab,2,Lab,1,First Year,4,Compulsory Program Requirements,1,Distributed 60/40,1,1,68,14270,2,Concurrent
11323,Database Systems,1,lecture,3,Third Year,4,Compulsory Program Requirements,1,Distributed 60/40,0,3,68,11212,1,Prerequisite
20134,Discrete Mathematics (1),1,lecture,1,First Year,3,Compulsory School Requirements ,1,Distributed 60/40,0,3,25,0,0,0
